No,Constituency,Representative,Questions,Group (manual)
222,RAUB,TUAN CHOW YU HUI,73,TUAN CHOW YU HUI
223,ROMPIN,DATO' HAJI ABDUL KHALIB BIN ABDULLAH,63,DATO' HAJI ABDUL KHALIB BIN ABDULLAH
224,ROMPIN,YB DATO' KHALIB BIN ABDULLAH,1,DATO' HAJI ABDUL KHALIB BIN ABDULLAH
225,SABAK BERNAM,TUAN KALAM BIN SALAN,58,TUAN KALAM BIN SALAN
226,SANDAKAN,PUAN VIVIAN WONG SHIR YEE,73,PUAN VIVIAN WONG SHIR YEE
227,SARATOK,DATUK ALI ANAK BIJU,69,DATUK ALI ANAK BIJU
228,SEGAMAT,TUAN YUNESWARAN A/L RAMARAJ,52,TUAN YUNESWARAN A/L RAMARAJ
229,SEGAMAT,YB TUAN R. YUNESWARAN,1,TUAN YUNESWARAN A/L RAMARAJ
230,SEKIJANG,DATUK SERI DR. ZALIHA BINTI MUSTAFA,8,DATUK SERI DR. ZALIHA BINTI MUSTAFA
231,SELANGAU,TUAN EDWIN ANAK BANTA,66,TUAN EDWIN ANAK BANTA
232,SELAYANG,TUAN WILLIAM LEONG JEE KEEN,71,TUAN WILLIAM LEONG JEE KEEN
233,SEMBRONG,DATO' SERI HISHAMMUDDIN BIN TUN HUSSEIN,69,DATO' SERI HISHAMMUDDIN BIN TUN HUSSEIN
234,SEMBRONG,YB DATO' SERI HISHAMMUDDIN BIN DATUK HUSSEIN,3,DATO' SERI HISHAMMUDDIN BIN TUN HUSSEIN
235,SEMPORNA,DATUK SERI PANGLIMA HAJI MOHD SHAFIE BIN HAJI APDAL,55,DATUK SERI PANGLIMA HAJI MOHD SHAFIE BIN HAJI APDAL
236,SEPUTEH,PUAN TERESA KOK SUH SIM,70,PUAN TERESA KOK SUH SIM
237,SERIAN,DATO' SRI RICHARD RIOT ANAK JAEM,65,DATO' SRI RICHARD RIOT ANAK JAEM
238,SETIAWANGSA,TUAN NIK NAZMI BIN NIK AHMAD,7,TUAN NIK NAZMI BIN NIK AHMAD
239,SETIU,TUAN SHAHARIZUKIRNAIN BIN ABD. KADIR,64,TUAN SHAHARIZUKIRNAIN BIN ABD. KADIR
240,SHAH ALAM,TUAN AZLI BIN YUSOF,56,TUAN AZLI BIN YUSOF
241,SIBU,TUAN OSCAR LING CHAI YEW,67,TUAN OSCAR LING CHAI YEW
242,SIK,TUAN AHMAD TARMIZI BIN SULAIMAN,65,TUAN AHMAD TARMIZI BIN SULAIMAN
243,SIMPANG RENGGAM,DATUK SERI UTAMA HASNI BIN MOHAMMAD,33,DATUK SERI UTAMA IR. HASNI BIN MOHAMMAD
244,SIMPANG RENGGAM,DATUK SERI UTAMA IR. HASNI BIN MOHAMMAD,34,DATUK SERI UTAMA IR. HASNI BIN MOHAMMAD
245,SIPITANG,DATUK MATBALI BIN MUSAH,26,DATUK MATBALI BIN MUSAH
246,SRI AMAN,DATO' SRI DORIS SOPHIA ANAK BRODI,59,DATO' SRI DORIS SOPHIA ANAK BRODI
247,SRI GADING,TUAN HAJI AMINOLHUDA BIN HASSAN,65,TUAN HAJI AMINOLHUDA BIN HASSAN
248,STAMPIN,TUAN CHONG CHIENG JEN,56,TUAN CHONG CHIENG JEN
249,SUBANG,TUAN WONG CHEN,72,TUAN WONG CHEN
250,SUNGAI BESAR,DATUK MUSLIMIN BIN YAHAYA,59,DATUK MUSLIMIN BIN YAHAYA
251,SUNGAI BESAR,YB DATUK HJ. MUSLIMIN YAHAYA,1,DATUK MUSLIMIN BIN YAHAYA
252,SUNGAI BULOH,DATO' RAMANAN RAMAKRISHNAN,12,DATO' RAMANAN RAMAKRISHNAN
253,SUNGAI PETANI,DR. MOHAMMED TAUFIQ BIN JOHARI,60,DR. MOHAMMED TAUFIQ BIN JOHARI
254,SUNGAI SIPUT,TUAN KESAVAN A/L SUBRAMANIAM,54,TUAN KESAVAN A/L SUBRAMANIAM
255,TAIPING,TUAN WONG KAH WHO,5,TUAN WONG KAH WOH
256,TAIPING,TUAN WONG KAH WOH,14,TUAN WONG KAH WOH
257,TAMPIN,DATO' MOHD ISAM BIN MOHD ISA,53,DATO' MOHD ISAM BIN MOHD ISA
258,TANAH MERAH,DATO' SRI IKMAL HISHAM BIN ABDUL AZIZ,55,DATO' SRI IKMAL HISHAM BIN ABDUL AZIZ
259,TANGGA BATU,TUAN HAJI BAKRI BIN JAMALUDDIN,69,TUAN HAJI BAKRI BIN JAMALUDDIN
260,TANJONG KARANG,KAPTEN DATO' DR. ZULKAFPERI BIN HANAPI (BERSARA),53,KAPTEN DATO' DR. ZULKAFPERI BIN HANAPI (BERSARA)
261,TANJONG KARANG,YB DATO' DR. ZULKAFPERI BIN HANAPI,12,KAPTEN DATO' DR. ZULKAFPERI BIN HANAPI (BERSARA)
262,TANJONG MANIS,DATO IR. HAJI YUSUF BIN HAJI ABD. WAHAB,10,TUAN HAJI YUSUF BIN ABD. WAHAB
263,TANJONG MANIS,TUAN EDWIN ANAK BANTA,1,TUAN HAJI YUSUF BIN ABD. WAHAB
264,TANJONG MANIS,TUAN HAJI YUSUF BIN ABD. WAHAB,66,TUAN HAJI YUSUF BIN ABD. WAHAB
265,TANJONG MANIS,YB IR. YUSOF BIN ABDUL WAHAB,1,TUAN HAJI YUSUF BIN ABD. WAHAB
266,TANJUNG PIAI,DATO' SRI DR. WEE JECK SENG,72,DATO' SRI DR. WEE JECK SENG
267,TAPAH,DATUK SERI M. SARAVANAN,41,DATUK SERI M. SARAVANAN
268,TAPAH,YB DATUK SERI SARAVANAN A/L MURUGAN,3,DATUK SERI M. SARAVANAN
269,TASEK GELUGOR,DATUK WAN SAIFUL WAN JAN,2,DATUK WAN SAIFULRUDDIN BIN WAN JAN
270,TASEK GELUGOR,DATUK WAN SAIFULRUDDIN BIN WAN JAN,61,DATUK WAN SAIFULRUDDIN BIN WAN JAN
271,TAWAU,DATUK LO SU FUI,63,DATUK LO SU FUI
272,TEBRAU,TUAN JIMMY PUAH WEE TSE,67,TUAN JIMMY PUAH WEE TSE
273,TEMERLOH,PUAN HAJAH SALAMIAH BINTI MOHD NOR,70,PUAN HAJAH SALAMIAH BINTI MOHD NOR
274,TEMERLOH,YB PUAN HJH. SALAMIAH MOHD NOR,1,PUAN HAJAH SALAMIAH BINTI MOHD NOR
275,TENGGARA,TUAN MANNDZRI BIN NASIB,66,TUAN MANNDZRI BIN NASIB
276,TENOM,TUAN RIDUAN BIN RUBIN,75,TUAN RIDUAN BIN RUBIN
277,TITIWANGSA,DATUK SERI JOHARI BIN ABDUL GHANI,16,DATUK SERI JOHARI BIN ABDUL GHANI
278,TUARAN,DATUK SERI PANGLIMA MADIUS TANGAU,76,DATUK SERI PANGLIMA MADIUS TANGAU
279,TUARAN,YB DATUK SERI PANGLIMA WILFRED MADIUS TANGAU,1,DATUK SERI PANGLIMA MADIUS TANGAU
280,TUMPAT,DATO' HAJAH MUMTAZ BINTI MD NAWI,55,DATO' HAJAH MUMTAZ BINTI MD NAWI
281,TUMPAT,DATO' HAJJAH MUMTAZ BINTI MD NAWI,2,DATO' HAJAH MUMTAZ BINTI MD NAWI
282,TUMPAT,YB DATO' HAJAH MUMTAZ MD NAWI,3,DATO' HAJAH MUMTAZ BINTI MD NAWI
283,WANGSA MAJU,TUAN ZAHIR BIN HASSAN,60,TUAN ZAHIR BIN HASSAN
